invoice_id,job_id,customer_id,segment,invoice_date,paid_date,amount
INV00001,J00001,C0234,Residential,2026-04-12,2026-04-21,3946.7
INV00002,J00002,C0229,Residential,2026-02-12,2026-02-14,206.53
INV00003,J00003,C0249,Residential,2026-05-23,2026-06-02,3492.22
INV00004,J00004,C0078,Property Management,2025-12-11,2026-01-17,4887.57
INV00005,J00005,C0032,Residential,2026-04-04,2026-04-16,90.51
INV00006,J00006,C0004,Commercial,2026-04-21,2026-04-21,212.5
INV00007,J00007,C0113,Residential,2026-04-02,2026-04-10,4728.44
INV00008,J00008,C0319,Residential,2025-09-23,,115.06
INV00009,J00009,C0094,Residential,2026-02-05,2026-02-09,206.15
INV00010,J00010,C0130,Commercial,2026-01-11,2026-01-26,4054.26
INV00011,J00011,C0387,Residential,2025-10-23,2025-11-03,3686.18
INV00012,J00012,C0112,Residential,2026-02-28,2026-03-15,6290.2
INV00013,J00013,C0056,Commercial,2025-08-28,2025-09-08,480.92
INV00014,J00014,C0354,Residential,2025-10-10,2025-10-10,8483.43
INV00015,J00015,C0273,Residential,2025-08-31,2025-09-12,465.51
INV00016,J00016,C0326,Commercial,2025-08-24,2025-08-29,205.8
INV00017,J00017,C0414,Commercial,2026-05-30,2026-06-01,4282.97
INV00018,J00018,C0143,Residential,2025-12-13,2025-12-20,8137.13
INV00019,J00019,C0094,Residential,2025-07-15,2025-07-30,111.57
INV00020,J00020,C0098,Property Management,2025-11-19,2026-01-16,387.96
INV00021,J00021,C0048,Residential,2026-03-09,2026-04-07,97.07
INV00022,J00022,C0382,Property Management,2026-04-10,2026-05-31,585.27
INV00023,J00023,C0381,Residential,2025-10-07,2025-10-08,575.1
INV00024,J00024,C0100,Residential,2026-04-28,2026-05-06,2599.87
INV00025,J00025,C0150,Residential,2025-07-24,2025-08-03,381.61
INV00026,J00026,C0175,Residential,2026-02-26,2026-03-20,88.83
INV00027,J00027,C0296,Residential,2026-01-22,2026-02-03,122.21
INV00028,J00028,C0392,Residential,2025-11-05,,5997.04
INV00029,J00029,C0220,Residential,2026-02-12,2026-02-17,2624.53
INV00030,J00030,C0339,Commercial,2025-10-15,2025-10-29,3654.65
INV00031,J00031,C0017,Residential,2026-06-18,2026-07-02,92.36
INV00032,J00032,C0059,Residential,2025-11-13,2025-11-23,6249.55
INV00033,J00033,C0384,Residential,2025-09-23,2025-09-28,4025.45
INV00034,J00034,C0277,Residential,2026-01-23,2026-02-05,3133.25
INV00035,J00035,C0118,Residential,2025-11-06,2025-11-18,1423.13
INV00036,J00036,C0241,Residential,2025-11-15,2025-11-16,585.02
INV00037,J00037,C0210,Residential,2025-08-16,2025-08-25,100.0
INV00038,J00038,C0019,Commercial,2025-11-25,2025-12-01,148.58
INV00039,J00039,C0237,Commercial,2026-03-21,2026-03-28,318.79
INV00040,J00040,C0068,Residential,2025-10-13,2025-10-13,4304.72
INV00041,J00041,C0160,Residential,2026-05-08,2026-05-19,6284.7
INV00042,J00042,C0256,Residential,2026-02-22,2026-03-04,9095.92
INV00043,J00043,C0283,Residential,2026-02-27,2026-03-10,4010.0
INV00044,J00044,C0175,Residential,2025-08-05,,4322.47
INV00045,J00045,C0229,Residential,2026-04-27,2026-05-03,115.39
INV00046,J00046,C0293,Commercial,2025-12-12,2025-12-25,5344.64
INV00047,J00047,C0254,Residential,2026-01-12,2026-01-29,215.39
INV00048,J00048,C0234,Residential,2026-02-11,,3592.09
INV00049,J00049,C0355,Property Management,2025-11-13,2026-01-04,478.24
INV00050,J00050,C0019,Commercial,2025-12-10,2025-12-13,121.31
INV00051,J00051,C0390,Property Management,2025-08-16,2025-10-31,172.02
INV00052,J00052,C0151,Residential,2025-07-24,2025-07-29,450.92
INV00053,J00053,C0041,Residential,2025-10-01,2025-10-12,496.94
INV00054,J00054,C0236,Commercial,2025-10-27,2025-11-05,94.15
INV00055,J00055,C0177,Residential,2025-09-19,2025-09-23,9425.91
INV00056,J00056,C0248,Residential,2025-12-02,2025-12-20,3797.26
INV00057,J00057,C0005,Property Management,2025-07-12,2025-09-13,163.14
INV00058,J00058,C0311,Commercial,2026-03-12,2026-03-22,3965.22
INV00059,J00059,C0322,Residential,2026-06-03,2026-06-14,516.1
INV00060,J00060,C0383,Residential,2025-08-16,2025-08-23,2921.86
INV00061,J00061,C0132,Property Management,2026-03-14,2026-05-06,4267.93
INV00062,J00062,C0073,Residential,2025-08-28,2025-09-02,131.56
INV00063,J00063,C0405,Residential,2026-04-12,2026-04-15,476.2
INV00064,J00064,C0056,Commercial,2025-11-12,2025-11-13,177.4
INV00065,J00065,C0326,Commercial,2026-05-09,2026-05-16,7813.59
INV00066,J00066,C0060,Residential,2025-07-20,2025-07-27,2062.42
INV00067,J00067,C0381,Residential,2026-06-22,2026-06-22,184.18
INV00068,J00068,C0112,Residential,2025-11-21,2025-11-30,927.8
INV00069,J00069,C0204,Residential,2026-05-27,2026-05-28,393.12
INV00070,J00070,C0403,Residential,2025-10-17,2025-10-27,816.13
INV00071,J00071,C0169,Residential,2026-04-27,,7536.46
INV00072,J00072,C0057,Residential,2025-09-05,2025-09-10,3584.86
INV00073,J00073,C0136,Property Management,2025-12-13,,362.55
INV00074,J00074,C0258,Residential,2026-03-20,2026-03-26,4829.3
INV00075,J00075,C0032,Residential,2025-12-02,2025-12-19,149.89
INV00076,J00076,C0165,Commercial,2026-02-13,2026-02-19,7149.78
INV00077,J00077,C0272,Residential,2025-12-14,2026-01-01,127.63
INV00078,J00078,C0232,Residential,2026-06-01,,8173.31
INV00079,J00079,C0341,Residential,2025-12-08,2025-12-08,122.39
INV00080,J00080,C0050,Property Management,2025-08-13,2025-11-04,7967.53
INV00081,J00081,C0211,Residential,2026-04-14,2026-04-14,447.52
INV00082,J00082,C0054,Residential,2025-11-25,,3360.38
INV00083,J00083,C0391,Property Management,2026-04-11,2026-05-15,395.0
INV00084,J00084,C0337,Residential,2026-05-15,2026-05-21,599.54
INV00085,J00085,C0290,Residential,2025-07-04,2025-07-18,521.82
INV00086,J00086,C0215,Residential,2026-03-29,2026-04-06,5740.42
INV00087,J00087,C0080,Residential,2026-05-02,2026-05-16,4444.46
INV00088,J00088,C0140,Residential,2026-03-06,2026-03-13,91.17
INV00089,J00089,C0342,Commercial,2026-04-30,2026-05-03,98.13
