job_id,date,customer_id,tech_id,job_type,revenue,labor_hours,labor_cost,material_cost,is_callback,parent_job_id
J00001,2026-04-12,C0234,T02,Furnace Install,3946.7,4.3,2589.93,2722.16,0,
J00002,2026-02-12,C0229,T09,Maintenance,206.53,6.2,56.01,31.36,0,
J00003,2026-05-23,C0249,T09,Electrical Panel Upgrade,3492.22,2.9,739.03,548.79,0,
J00004,2025-12-11,C0078,T03,AC Install,4887.57,5.9,1495.41,551.54,0,
J00005,2026-04-04,C0032,T07,Diagnostic,90.51,3.9,30.39,19.62,0,
J00006,2026-04-21,C0004,T08,Maintenance,212.5,3.1,54.93,59.14,0,
J00007,2026-04-02,C0113,T08,Furnace Install,4728.44,4.4,2968.38,3391.32,0,
J00008,2025-09-23,C0319,T03,Diagnostic,115.06,7.3,33.23,26.76,0,
J00009,2026-02-05,C0094,T08,Furnace Repair,206.15,3.7,47.77,34.09,0,
J00010,2026-01-11,C0130,T07,Electrical Panel Upgrade,4054.26,4.3,1266.36,447.66,0,
J00011,2025-10-23,C0387,T01,AC Install,3686.18,2.7,1201.27,826.69,0,
J00012,2026-02-28,C0112,T10,AC Install,6290.2,2.8,1606.1,1391.26,0,
J00013,2025-08-28,C0056,T05,Furnace Repair,480.92,7.5,137.72,135.43,0,
J00014,2025-10-10,C0354,T10,AC Install,8483.43,2.7,2583.87,1360.03,0,
J00015,2025-08-31,C0273,T06,AC Repair,465.51,4.5,116.93,125.65,0,
J00016,2025-08-24,C0326,T06,Maintenance,205.8,4.2,45.88,27.83,0,
J00017,2026-05-30,C0414,T10,Electrical Panel Upgrade,4282.97,6.4,1155.25,1135.62,0,
J00018,2025-12-13,C0143,T02,Furnace Install,8137.13,2.7,5231.7,5717.01,0,
J00019,2025-07-15,C0094,T06,Diagnostic,111.57,3.5,26.64,17.4,0,
J00020,2025-11-19,C0098,T09,AC Repair,387.96,4.4,121.71,92.38,0,
J00021,2026-03-09,C0048,T01,Diagnostic,97.07,3.8,22.96,22.6,0,
J00022,2026-04-10,C0382,T07,Wiring Repair,585.27,3.5,156.89,94.42,0,
J00023,2025-10-07,C0381,T02,Wiring Repair,575.1,6.3,130.99,82.4,0,
J00024,2026-04-28,C0100,T02,Electrical Panel Upgrade,2599.87,3.5,637.85,628.14,0,
J00025,2025-07-24,C0150,T09,AC Repair,381.61,7.1,104.42,104.77,0,
J00026,2026-02-26,C0175,T08,Diagnostic,88.83,1.4,30.3,17.37,0,
J00027,2026-01-22,C0296,T02,Diagnostic,122.21,1.4,27.18,25.98,0,
J00028,2025-11-05,C0392,T09,AC Install,5997.04,5.2,1755.71,1530.08,0,
J00029,2026-02-12,C0220,T10,Electrical Panel Upgrade,2624.53,5.3,764.9,650.93,0,
J00030,2025-10-15,C0339,T05,Furnace Install,3654.65,2.7,2413.53,2153.08,0,
J00031,2026-06-18,C0017,T05,Diagnostic,92.36,5.9,28.21,17.62,0,
J00032,2025-11-13,C0059,T07,Furnace Install,6249.55,5.5,4572.68,4728.77,0,
J00033,2025-09-23,C0384,T10,Electrical Panel Upgrade,4025.45,7.4,1070.26,779.89,0,
J00034,2026-01-23,C0277,T09,Electrical Panel Upgrade,3133.25,1.6,645.38,584.06,0,
J00035,2025-11-06,C0118,T02,AC Repair,1423.13,5.0,487.59,426.82,0,
J00036,2025-11-15,C0241,T03,AC Repair,585.02,2.9,204.49,109.5,0,
J00037,2025-08-16,C0210,T06,Diagnostic,100.0,5.7,32.87,16.6,0,
