quote_id,date,customer_id,tech_id,job_type,amount,status
Q00001,2025-10-16,C0013,T04,AC Install,3597.32,won
Q00002,2025-10-15,C0035,T02,Furnace Repair,311.79,open
Q00003,2026-02-02,C0006,T07,Wiring Repair,688.47,won
Q00004,2026-01-15,C0156,T04,Wiring Repair,499.97,lost
Q00005,2026-03-02,C0017,T08,AC Repair,400.0,won
Q00006,2025-11-08,C0386,T07,Diagnostic,115.43,won
Q00007,2026-06-18,C0014,T08,Wiring Repair,465.98,open
Q00008,2025-08-14,C0279,T05,Diagnostic,81.9,won
Q00009,2026-05-20,C0195,T08,AC Install,7994.31,won
Q00010,2026-02-26,C0159,T06,AC Repair,426.31,lost
Q00011,2026-02-17,C0211,T10,Furnace Install,3731.74,lost
Q00012,2026-04-30,C0228,T09,AC Repair,184.55,won
Q00013,2025-11-18,C0335,T09,Maintenance,183.89,won
Q00014,2025-08-30,C0232,T03,Diagnostic,97.0,won
Q00015,2025-11-26,C0057,T07,Wiring Repair,680.77,open
Q00016,2025-08-09,C0249,T08,Furnace Install,4594.64,won
Q00017,2026-05-31,C0023,T07,Furnace Repair,337.18,won
Q00018,2026-06-15,C0366,T04,Diagnostic,108.35,lost
Q00019,2025-08-29,C0072,T03,AC Install,4291.99,open
Q00020,2026-05-06,C0255,T08,AC Repair,333.34,lost
Q00021,2025-07-11,C0055,T09,Wiring Repair,493.04,won
Q00022,2026-02-09,C0034,T02,Maintenance,100.43,open
Q00023,2026-06-06,C0206,T08,Wiring Repair,554.98,won
Q00024,2025-09-09,C0083,T01,AC Install,4018.27,won
Q00025,2025-10-09,C0192,T09,Diagnostic,116.8,won
Q00026,2026-06-02,C0212,T10,Furnace Repair,240.24,won
Q00027,2025-10-12,C0069,T05,Furnace Repair,568.25,won
Q00028,2026-01-07,C0404,T09,AC Repair,156.08,won
Q00029,2025-11-14,C0416,T05,AC Repair,218.53,open
Q00030,2026-03-03,C0340,T04,Furnace Install,5858.65,won
Q00031,2025-08-20,C0284,T07,Furnace Repair,509.37,won
Q00032,2025-08-06,C0262,T03,Furnace Repair,255.61,lost
Q00033,2026-03-02,C0085,T10,AC Install,4982.41,lost
Q00034,2026-05-17,C0135,T04,Wiring Repair,484.47,lost
Q00035,2025-07-22,C0015,T07,Wiring Repair,334.82,lost
Q00036,2026-01-08,C0311,T08,Maintenance,198.56,won
Q00037,2025-09-04,C0405,T10,Diagnostic,113.22,won
Q00038,2026-05-22,C0307,T04,Furnace Repair,451.05,won
Q00039,2025-08-08,C0016,T10,Maintenance,143.67,lost
Q00040,2026-06-26,C0190,T01,Furnace Repair,324.24,won
Q00041,2026-05-29,C0275,T05,Wiring Repair,623.71,open
Q00042,2026-02-26,C0388,T07,Diagnostic,140.34,lost
Q00043,2026-06-21,C0173,T08,Furnace Repair,227.31,won
Q00044,2025-12-23,C0323,T05,AC Install,5109.27,won
Q00045,2025-11-25,C0166,T06,Furnace Install,8280.42,lost
Q00046,2025-12-26,C0172,T04,Electrical Panel Upgrade,3197.71,lost
Q00047,2025-11-13,C0394,T04,Maintenance,169.31,lost
Q00048,2026-06-18,C0352,T04,Electrical Panel Upgrade,3652.15,lost
Q00049,2026-04-10,C0409,T04,Wiring Repair,523.88,won
Q00050,2025-08-30,C0106,T04,Electrical Panel Upgrade,3414.95,lost
Q00051,2025-12-20,C0192,T08,Furnace Repair,307.73,won
Q00052,2025-11-16,C0175,T09,Diagnostic,85.98,lost
Q00053,2025-11-07,C0417,T07,AC Install,6804.1,won
Q00054,2025-08-04,C0254,T05,Furnace Install,5746.66,open
Q00055,2026-04-25,C0291,T09,Electrical Panel Upgrade,2935.33,lost
