tech_id,week_start,paid_hours,billable_hours
T01,2025-07-01,37.6,24.4
T01,2025-07-08,38.1,33.4
T01,2025-07-15,41.0,32.6
T01,2025-07-22,40.6,27.5
T01,2025-07-29,40.5,32.3
T01,2025-08-05,41.7,29.5
T01,2025-08-12,38.6,35.5
T01,2025-08-19,37.5,31.2
T01,2025-08-26,39.9,31.2
T01,2025-09-02,37.9,24.8
T01,2025-09-09,39.0,32.0
T01,2025-09-16,41.3,29.2
T01,2025-09-23,37.5,29.3
T01,2025-09-30,38.6,34.4
T01,2025-10-07,36.2,30.3
T01,2025-10-14,41.0,30.2
T01,2025-10-21,37.1,28.7
T01,2025-10-28,37.3,24.4
T01,2025-11-04,38.7,33.6
T01,2025-11-11,37.2,30.7
T01,2025-11-18,41.7,33.3
T01,2025-11-25,36.9,32.8
T01,2025-12-02,41.0,35.3
T01,2025-12-09,41.0,29.8
T01,2025-12-16,39.6,27.9
T01,2025-12-23,41.8,34.2
T01,2025-12-30,40.7,33.0
T01,2026-01-06,36.9,30.9
T01,2026-01-13,37.7,27.5
T01,2026-01-20,41.0,28.5
T01,2026-01-27,36.2,30.3
T01,2026-02-03,37.1,31.4
T01,2026-02-10,39.5,32.8
T01,2026-02-17,37.2,30.2
T01,2026-02-24,36.2,26.8
T01,2026-03-03,37.1,22.5
T01,2026-03-10,39.4,34.9
T01,2026-03-17,39.3,37.9
T01,2026-03-24,37.6,34.1
T01,2026-03-31,40.1,30.6
T01,2026-04-07,36.4,33.8
T01,2026-04-14,39.3,33.0
T01,2026-04-21,41.3,29.6
T01,2026-04-28,40.6,36.9
T01,2026-05-05,36.5,26.0
T01,2026-05-12,41.5,26.9
T01,2026-05-19,41.3,34.1
T01,2026-05-26,40.1,33.8
T01,2026-06-02,37.2,28.1
T01,2026-06-09,37.1,29.9
T01,2026-06-16,41.5,30.6
T01,2026-06-23,38.3,30.1
T01,2026-06-30,40.9,33.5
T02,2025-07-01,37.0,28.3
T02,2025-07-08,41.9,36.3
T02,2025-07-15,41.5,34.7
T02,2025-07-22,39.4,30.8
T02,2025-07-29,40.4,31.6
T02,2025-08-05,36.4,25.8
T02,2025-08-12,41.3,28.8
T02,2025-08-19,41.9,29.6
T02,2025-08-26,38.0,29.0
T02,2025-09-02,39.6,28.8
T02,2025-09-09,36.8,25.9
T02,2025-09-16,39.0,21.3
T02,2025-09-23,39.2,36.3
T02,2025-09-30,36.7,31.9
T02,2025-10-07,38.3,29.3
T02,2025-10-14,41.8,33.5
T02,2025-10-21,39.4,29.3
T02,2025-10-28,38.6,30.8
T02,2025-11-04,38.5,27.8
T02,2025-11-11,37.0,30.5
T02,2025-11-18,41.2,29.5
T02,2025-11-25,41.9,31.8
T02,2025-12-02,39.5,30.3
T02,2025-12-09,39.5,36.0
T02,2025-12-16,36.1,27.6
T02,2025-12-23,39.3,27.0
T02,2025-12-30,37.8,34.5
T02,2026-01-06,42.0,32.9
T02,2026-01-13,40.5,32.0
T02,2026-01-20,36.3,27.8
T02,2026-01-27,36.1,27.9
T02,2026-02-03,41.8,31.1
T02,2026-02-10,41.1,30.4
T02,2026-02-17,40.6,30.6
T02,2026-02-24,41.4,33.6
T02,2026-03-03,41.3,24.4
T02,2026-03-10,37.4,31.4
T02,2026-03-17,39.4,31.2
T02,2026-03-24,36.2,29.2
T02,2026-03-31,38.1,36.2
T02,2026-04-07,37.2,29.1
T02,2026-04-14,37.0,29.2
T02,2026-04-21,38.1,35.1
T02,2026-04-28,41.4,33.8
T02,2026-05-05,40.8,26.9
T02,2026-05-12,36.7,35.2
T02,2026-05-19,41.3,32.7
T02,2026-05-26,38.0,32.4
T02,2026-06-02,40.3,33.3
T02,2026-06-09,38.4,28.6
T02,2026-06-16,39.0,26.7
T02,2026-06-23,40.2,30.0
T02,2026-06-30,37.2,30.8
T03,2025-07-01,37.2,33.8
T03,2025-07-08,37.0,30.6
T03,2025-07-15,37.0,26.5
T03,2025-07-22,38.6,33.9
T03,2025-07-29,38.1,29.9
T03,2025-08-05,40.5,27.1
T03,2025-08-12,36.7,27.6
T03,2025-08-19,41.0,33.3
T03,2025-08-26,36.5,23.7
T03,2025-09-02,41.3,37.6
T03,2025-09-09,40.5,33.6
T03,2025-09-16,38.4,33.5
T03,2025-09-23,39.7,28.6
T03,2025-09-30,41.7,34.4
T03,2025-10-07,39.0,32.0
T03,2025-10-14,37.2,26.5
T03,2025-10-21,38.2,30.1
T03,2025-10-28,37.0,31.3
T03,2025-11-04,39.6,29.2
T03,2025-11-11,41.2,29.4
T03,2025-11-18,41.4,29.0
T03,2025-11-25,38.1,31.1
T03,2025-12-02,36.8,28.6
T03,2025-12-09,38.4,31.9
T03,2025-12-16,38.9,31.4
T03,2025-12-23,37.4,23.3
T03,2025-12-30,41.1,36.7
T03,2026-01-06,37.6,27.5
T03,2026-01-13,39.1,34.7
T03,2026-01-20,41.5,32.4
T03,2026-01-27,41.4,33.8
T03,2026-02-03,40.2,34.0
T03,2026-02-10,38.7,28.1
T03,2026-02-17,40.6,35.8
T03,2026-02-24,37.0,29.5
T03,2026-03-03,40.5,29.1
T03,2026-03-10,41.2,31.6
T03,2026-03-17,37.6,31.0
T03,2026-03-24,36.4,32.6
T03,2026-03-31,40.1,33.2
T03,2026-04-07,37.9,27.4
T03,2026-04-14,37.6,29.0
T03,2026-04-21,39.5,29.1
T03,2026-04-28,36.6,29.0
T03,2026-05-05,39.1,36.5
T03,2026-05-12,38.6,33.1
T03,2026-05-19,36.8,27.1
T03,2026-05-26,38.8,33.2
T03,2026-06-02,40.4,31.0
T03,2026-06-09,41.2,33.0
T03,2026-06-16,39.3,31.8
T03,2026-06-23,40.2,31.2
T03,2026-06-30,37.9,35.0
T04,2025-07-01,41.6,33.6
T04,2025-07-08,40.4,27.3
T04,2025-07-15,41.8,31.2
T04,2025-07-22,39.0,34.1
T04,2025-07-29,38.6,26.2
T04,2025-08-05,37.2,24.8
T04,2025-08-12,37.3,29.3
T04,2025-08-19,39.5,32.7
T04,2025-08-26,39.3,28.9
T04,2025-09-02,39.7,33.3
T04,2025-09-09,36.3,25.8
T04,2025-09-16,40.0,35.5
T04,2025-09-23,41.8,31.5
T04,2025-09-30,38.0,35.9
T04,2025-10-07,39.0,31.5
T04,2025-10-14,39.2,25.6
T04,2025-10-21,41.0,23.5
T04,2025-10-28,37.9,27.5
T04,2025-11-04,38.6,30.6
T04,2025-11-11,40.7,30.1
T04,2025-11-18,36.1,25.3
T04,2025-11-25,36.8,28.6
T04,2025-12-02,39.5,32.1
T04,2025-12-09,37.3,31.3
T04,2025-12-16,40.7,35.5
T04,2025-12-23,36.5,25.1
T04,2025-12-30,39.5,31.7
T04,2026-01-06,37.1,30.5
T04,2026-01-13,38.1,29.8
T04,2026-01-20,38.1,26.0
T04,2026-01-27,40.8,34.9
T04,2026-02-03,40.5,30.3
T04,2026-02-10,41.9,28.7
T04,2026-02-17,37.1,30.2
T04,2026-02-24,40.6,35.1
T04,2026-03-03,36.5,25.6
T04,2026-03-10,41.7,33.2
T04,2026-03-17,37.6,27.2
T04,2026-03-24,37.7,25.8
T04,2026-03-31,40.7,29.8
T04,2026-04-07,39.6,29.1
T04,2026-04-14,41.0,29.3
T04,2026-04-21,38.7,32.3
T04,2026-04-28,37.6,31.6
T04,2026-05-05,41.0,28.5
T04,2026-05-12,41.8,37.9
T04,2026-05-19,38.2,30.2
T04,2026-05-26,41.0,33.1
T04,2026-06-02,39.9,33.4
T04,2026-06-09,36.4,28.6
T04,2026-06-16,40.4,33.5
T04,2026-06-23,38.2,30.9
T04,2026-06-30,37.2,27.8
T05,2025-07-01,37.8,28.4
T05,2025-07-08,38.8,33.8
T05,2025-07-15,38.3,32.0
T05,2025-07-22,36.0,35.2
T05,2025-07-29,41.6,34.9
T05,2025-08-05,36.9,28.0
T05,2025-08-12,38.4,30.0
T05,2025-08-19,38.4,34.5
T05,2025-08-26,41.0,29.5
T05,2025-09-02,36.3,34.1
T05,2025-09-09,38.3,28.9
T05,2025-09-16,37.3,22.1
T05,2025-09-23,36.1,27.1
T05,2025-09-30,39.4,31.0
T05,2025-10-07,37.6,31.2
T05,2025-10-14,36.5,30.4
T05,2025-10-21,41.1,27.8
T05,2025-10-28,40.0,33.0
T05,2025-11-04,37.2,34.8
T05,2025-11-11,38.5,37.2
T05,2025-11-18,39.7,31.5
T05,2025-11-25,37.7,32.1
T05,2025-12-02,36.8,30.4
T05,2025-12-09,37.2,31.3
T05,2025-12-16,41.4,34.1
T05,2025-12-23,37.7,31.1
T05,2025-12-30,37.1,27.9
T05,2026-01-06,38.8,33.2
T05,2026-01-13,38.9,28.0
T05,2026-01-20,38.5,30.7
T05,2026-01-27,41.2,31.7
T05,2026-02-03,37.3,29.1
T05,2026-02-10,39.7,33.6
T05,2026-02-17,36.3,27.8
T05,2026-02-24,36.4,31.4
T05,2026-03-03,38.0,27.7
T05,2026-03-10,38.6,33.2
T05,2026-03-17,42.0,34.8
T05,2026-03-24,39.7,27.8
T05,2026-03-31,37.1,28.4
T05,2026-04-07,41.3,34.2
T05,2026-04-14,37.7,29.9
T05,2026-04-21,40.6,34.4
T05,2026-04-28,36.5,26.4
T05,2026-05-05,38.1,29.8
T05,2026-05-12,40.7,32.8
T05,2026-05-19,38.3,26.4
T05,2026-05-26,37.5,19.9
T05,2026-06-02,37.0,24.5
T05,2026-06-09,41.2,32.6
T05,2026-06-16,37.4,26.3
T05,2026-06-23,41.1,34.8
T05,2026-06-30,36.2,31.0
T06,2025-07-01,40.1,33.1
T06,2025-07-08,40.4,35.0
T06,2025-07-15,37.6,24.5
T06,2025-07-22,36.0,21.5
T06,2025-07-29,38.0,26.9
T06,2025-08-05,41.3,32.2
T06,2025-08-12,38.9,32.1
T06,2025-08-19,38.3,29.2
T06,2025-08-26,37.7,27.7
T06,2025-09-02,36.1,31.6
T06,2025-09-09,40.8,29.8
T06,2025-09-16,39.2,29.5
T06,2025-09-23,37.6,27.0
T06,2025-09-30,41.1,33.3
T06,2025-10-07,39.8,30.8
T06,2025-10-14,38.7,27.6
T06,2025-10-21,41.7,29.9
T06,2025-10-28,38.7,29.8
T06,2025-11-04,38.4,27.2
T06,2025-11-11,38.7,32.9
T06,2025-11-18,39.9,35.2
T06,2025-11-25,37.5,24.4
T06,2025-12-02,38.5,25.5
